_dataobs_,Pool,Horses,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
18132,Private,N,Scottsdale,2133,4,1996,3,2.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,6439,Detached,Cash
18133,Private,N,Fountain Hills,2461,3,1986,3,2.5,2,1,McDowell Mountain,Fountain Hills,Fountain Hills,98,98,10001,Detached,Conventional
18138,None,N,Scottsdale,1796,3,1959,3,2,1,1,Hohokam Scottsdale,Supai,Coronado High,48,48,8828,Detached,Conventional
18140,None,N,Scottsdale,1795,3,1999,3,2,1,1,Grayhawk,Mountain Trail,Pinnacle,69,69,6000,Detached,Other
18142,Both,N,Chandler,2090,4,1986,4,2,1,1,Kyrene Middle,Kyrene Aprende,Tempe High School,3,213,9039,Detached,Conventional
18146,Community,N,Chandler,1945,3,2017,3,2.5,2,2,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,2690,Detached,Conventional
18148,Private,N,Tempe,1477,3,1961,3,2,1,1,Yavapai,Supai,Coronado High,48,48,6011,Detached,Conventional
18150,None,N,Chandler,1320,3,1983,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,8830,Detached,Conventional
18153,None,N,Chandler,1215,3,1984,3,2,1,1,CTA Humphrey,Willis,Perry,80,80,8028,Detached,Conventional
18156,Private,N,Scottsdale,4234,4,1990,4,3,1,1,Anasazi Elementary,Mountainside,Desert Mountain,48,48,21989,Detached,Cash
18166,Private,Y,Scottsdale,1804,3,1963,3,2,1,1,Sandpiper,Desert Shadows Scott,Horizon,69,69,37271,Detached,Other
18171,Private,N,Fountain Hills,2096,3,1998,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,10289,Detached,Conventional
18189,None,N,Chandler,3557,7,2003,4,3,2,2,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,7200,Detached,Conventional
18191,Private,N,Scottsdale,1428,3,1986,3,2,1,1,Sandpiper,Desert Shadows,Horizon,69,69,8146,Detached,Cash
18194,Community,N,Chandler,2575,5,2016,4,3,2,2,CTA Liberty,Willis,Perry,80,80,2983,Detached,Conventional
18212,Private,N,Scottsdale,5146,5,2003,5,4.5,2,2,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,23915,Detached,Carryback
18219,Private,N,Scottsdale,3940,4,1989,4,4,1,1,Laguna,Mountainside,Desert Mt Middle Sch,48,48,19344,Detached,Cash
18227,None,Y,Scottsdale,2568,3,2014,3,3,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,176338,Detached,Conventional
18231,Private,N,Scottsdale,2511,4,1997,4,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,8400,Detached,Conventional
18233,Private,N,Chandler,2904,4,2002,3,2.5,1,1,San Tan,San Tan,Basha High,80,80,10763,Detached,Conventional
18243,None,N,Tempe,1721,4,1969,4,2,1,1,Curry,Connolly,McClintock,3,213,9004,Detached,Other
18245,Community,N,Chandler,974,2,1992,2,2,1,1,Adult,Adult,Adult,80,80,3254,Detached,Conventional
18247,Both,N,Scottsdale,5140,5,1988,4,4,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,41697,Detached,Other
18273,Private,N,Scottsdale,2710,4,1972,3,1.75,1,1,Desert Shadows,Desert Shadows,Horizon,69,69,24778,Detached,Cash
18281,None,N,Chandler,3289,6,2003,5,3.5,2,2,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,9280,Detached,Cash
18286,Private,N,Chandler,2386,4,1985,4,2,1,1,Sirrine,Hendrix,Dobson,4,4,10559,Detached,Cash
18287,Private,N,Chandler,2716,4,1994,4,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,10184,Detached,Conventional
18289,Community,N,Chandler,2189,4,2010,3,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,7200,Detached,Conventional
18297,Community,N,Chandler,2054,4,2003,3,2,1,1,Navarrete,Willie & Coy Payne J,Basha High,80,80,7427,Detached,Cash
18302,Private,N,Tempe,1500,3,1974,3,1.75,1,1,Fuller,Fees,Marcos De Niza,3,3,6961,Detached,Conventional
18303,Private,N,Tempe,1498,3,1970,3,2,1,1,Roosevelt,Powell,Dobson,4,4,6180,Detached,VA
18304,None,N,Chandler,1230,3,1971,3,2,1,1,Other,Other,Chandler High,80,80,6172,Detached,FHA
18305,None,N,Tempe,1383,3,1978,3,2,1,1,Carminati,McKemy,Tempe High School,3,3,7035,Detached,Conventional
18310,None,N,Chandler,1508,4,1980,3,2,1,1,Pomeroy,Summit Academy,Dobson,4,4,7963,Detached,Conventional
18321,Private,Y,Scottsdale,3838,6,2007,6,3.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,45815,Detached,Conventional
18324,Private,N,Chandler,3304,4,2004,4,2.5,1,1,John & Carol Carlson,Santan Junior High,Perry,80,80,13948,Detached,Conventional
18332,Private,N,Scottsdale,2551,5,1987,4,2.5,1,1,Desert Springs,Desert Shadows,Horizon School,69,69,12133,Detached,Conventional
18333,None,N,Scottsdale,1735,3,1956,3,1.75,1,1,Tavan,Ingleside,Arcadia High,48,48,8016,Detached,Other
18334,Private,N,Scottsdale,2364,3,1979,3,2,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,44008,Detached,Conventional
18335,Private,N,Scottsdale,2059,6,1995,3,2,1,1,North Ranch,Sunrise,Horizon,69,69,6769,Detached,Conventional
18336,Private,N,Chandler,3087,5,2002,4,3,1,1,Ira A. Fulton,San Tan,Hamilton,80,80,11091,Detached,Conventional
18344,Private,N,Scottsdale,1557,3,1965,3,2,1,1,Tonalea,Supai,Coronado High,48,48,8408,Detached,Conventional
18346,Private,N,Tempe,1910,4,1998,4,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,5576,Detached,VA
18356,None,N,Chandler,2421,4,1996,4,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,9044,Detached,Conventional
18357,Private,N,Tempe,1863,3,1974,3,2,1,1,Curry,Connolly,McClintock,3,213,10075,Detached,Conventional
18363,None,N,Chandler,1970,3,1980,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,7553,Detached,Conventional
18374,Community,N,Chandler,1356,2,1986,2,2,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,5053,Detached,Conventional
18377,Both,N,Scottsdale,3929,4,2005,4,4.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,19781,Detached,Conventional
18379,Community,N,Scottsdale,3546,6,2020,4,5,2,2,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,4633,Attached,Cash
18386,Private,N,Scottsdale,2318,3,1983,3,2,1,1,Cochise,Cocopah,Chaparral High,48,48,12601,Detached,Conventional
18388,Community,N,Scottsdale,2005,4,2018,3,2.5,2,2,Tonalea,Supai,Coronado High,48,48,2358,Detached,Conventional
18392,Community,N,Chandler,2948,5,2016,4,3,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,5818,Detached,Conventional
18394,Community,N,Scottsdale,1548,3,1999,2,2,1,1,Desert Canyon,Desert Canyon,Saguaro,48,48,6050,Detached,Conventional
18399,Private,N,Chandler,2357,5,1993,4,3,2,2,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,8603,Detached,Conventional
18412,Private,N,Scottsdale,3759,7,2016,4,4.5,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,11202,Detached,Other
18413,Private,N,Scottsdale,3214,4,1994,4,3,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,9985,Detached,Other
18419,Private,N,Scottsdale,2706,5,1979,5,3,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,11409,Detached,Conventional
18425,Private,N,Chandler,4639,7,2002,5,3.5,2,2,San Tan,Santan Junior High,Basha High,80,80,12600,Detached,Conventional
18426,Community,N,Scottsdale,2197,3,1990,3,2,1,1,Cochise,Cocopah,Chaparral High,48,48,5480,Detached,Cash
18445,Both,N,Scottsdale,3568,4,1997,4,4,2,2,Cochise,Cocopah,Chaparral High,48,48,9800,Detached,Conventional
18448,None,N,Chandler,3172,5,2017,5,3,1,1,Haley Elementary,Santan Junior High,Perry,80,80,9162,Detached,VA
18453,Private,N,Chandler,2353,5,2003,4,2.5,1,1,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,8077,Detached,VA
18457,Private,N,Chandler,1413,3,1980,3,2,1,1,Sirrine,Summit Academy,Dobson,4,4,7479,Detached,FHA
18471,Community,N,Chandler,1961,4,2005,3,2.5,2,2,Rudy G. Bologna,Santan Junior High,Perry,80,80,3320,Detached,Other
18473,Community,N,Tempe,1489,3,1992,3,2.5,2,2,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,2836,Detached,Conventional
18476,None,Y,Chandler,4516,5,2010,3,3.5,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,35915,Detached,Cash
18477,Private,N,Scottsdale,3458,4,2003,3,3.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,13213,Detached,Cash
18480,Private,N,Scottsdale,2572,5,1998,4,3,1,1,Grayhawk,Desert Shadows Scott,Pinnacle,69,69,8190,Detached,Conventional
18486,None,N,Scottsdale,1908,3,1979,3,1.75,1,1,Kiva,Mohave,Saguaro High,48,48,8256,Detached,Conventional
18489,Private,N,Chandler,2650,5,2001,4,2.5,2,2,Jane D. Hull,Santan Junior High,Basha High,80,80,7475,Detached,Conventional
18492,Community,N,Chandler,1680,3,2004,2,2,1,1,Adult,Adult,Adult,0,0,6251,Detached,Conventional
18497,None,Y,Scottsdale,2700,4,2003,3,2.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,108130,Detached,Cash
18499,Private,N,Fountain Hills,3604,5,1996,4,2.5,2,2,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,10006,Detached,Cash
18506,Private,N,Chandler,3912,7,2006,6,4,2,1,John & Carol Carlson,Santan Junior High,Perry,80,80,22968,Detached,Conventional
18511,Private,N,Scottsdale,2543,4,1997,4,2.5,1,1,Grayhawk,Mountain Trail,Pinnacle,69,69,9205,Detached,Other
18516,Private,N,Fountain Hills,2087,4,1999,3,2,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,7200,Detached,Conventional
18518,Community,N,Scottsdale,2784,4,1991,3,3,2,2,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,5631,Detached,Conventional
18521,Private,N,Scottsdale,1838,4,1958,4,2,1,1,Tonalea,Supai,Coronado High,48,48,6650,Detached,Conventional
18523,Private,N,Scottsdale,2027,3,1996,3,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,7289,Detached,Conventional
18540,Private,N,Chandler,1377,3,1993,3,2,1,1,Dr. Howard K. Conley,John M Andersen Jr H,Hamilton,80,80,6599,Detached,Conventional
18553,Private,Y,Scottsdale,5302,5,2005,4,6,2,2,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,87119,Detached,Cash
18557,Private,N,Scottsdale,4578,7,2004,4,4.5,2,2,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,17603,Detached,Cash
18561,Both,N,Scottsdale,4417,4,1988,3,4.5,2,2,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,28302,Detached,Other
18568,Private,N,Scottsdale,2630,5,1996,4,2.5,2,2,Sandpiper,Desert Shadows Scott,Horizon School,69,69,6871,Detached,Conventional
18571,Private,N,Scottsdale,2544,5,1999,4,3,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,9584,Detached,Conventional
18581,None,N,Scottsdale,1527,4,1974,4,2,1,1,Pima,Mohave,Coronado High,48,48,10415,Detached,Conventional
18588,Community,N,Scottsdale,1797,3,1993,2,2,1,1,Cochise,Cocopah,Chaparral High,48,48,4531,Detached,Cash
18592,None,N,Chandler,2835,7,2005,5,3,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,11362,Detached,Conventional
18596,Private,N,Tempe,1560,3,1974,3,2,1,1,Roosevelt,Powell,Westwood,4,4,7349,Detached,Conventional
18597,Community,N,Chandler,2204,4,1985,4,2,1,1,Pomeroy,Summit Academy,Dobson,4,4,9026,Detached,Conventional
18599,Private,N,Scottsdale,1444,3,1959,3,2,1,1,Hohokam Scottsdale,Supai,Coronado High,48,48,6377,Detached,Conventional
18629,Private,N,Chandler,1801,3,1998,3,2,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,7187,Detached,Conventional
18633,Private,N,Tempe,1700,3,1968,3,2,1,1,Hudson,Connolly,McClintock,3,213,7736,Detached,Conventional
18636,None,N,Chandler,1866,4,1999,4,2,1,1,Basha Elementary Sch,Bogle Junior High,Hamilton,80,80,7113,Detached,Conventional
18639,Private,N,Fountain Hills,1571,3,1993,3,2,1,1,Fountain Hills,Fountain Hills Middl,Fountain Hills,98,98,10572,Detached,Conventional
18643,None,N,Chandler,1300,3,1997,3,2,1,1,Rudy G. Bologna,Santan Junior High,Perry,80,80,5493,Detached,Conventional
18645,Community,N,Chandler,1145,3,1986,3,2,1,1,Chandler Traditional,John M Andersen Elem,Chandler High,80,80,4765,Detached,Conventional
18656,Private,N,Fountain Hills,3532,4,1984,4,3.5,2,2,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,9980,Detached,Cash
