_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
9818,None,N,664500,Scottsdale,2440,4,1994,4,3,2,2,Cheyene Elementary,Mountainside,Desert Mountain,48,48,5596,Detached,Conventional
9819,None,N,650000,Chandler,2873,6,2015,4,3.5,2,2,Haley Elementary,Santan Junior High,Perry,80,80,5500,Detached,Conventional
9820,None,N,640000,Fountain Hills,2605,3,1997,3,2,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,12981,Detached,Conventional
9821,Private,N,633000,Scottsdale,1617,4,1994,3,2,1,1,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,5366,Detached,Cash
9822,Community,N,591025,Scottsdale,1768,3,1984,3,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,5884,Detached,Cash
9824,None,N,524000,Chandler,1627,3,1995,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,5053,Detached,Conventional
9825,Private,N,490000,Scottsdale,1636,4,1958,4,2,1,1,Pima,Mohave,Coronado High,48,48,6743,Detached,Cash
9826,Private,N,460000,Tempe,2041,3,1995,3,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,3,6242,Detached,VA
9827,Community,N,430000,Chandler,1620,3,1996,2,2,1,1,Adult,Adult,Adult,80,80,5423,Detached,Cash
9828,None,N,412000,Chandler,1643,3,1995,3,2,1,1,Frye,Willis,Hamilton,80,80,6164,Detached,FHA
9829,None,N,400000,Chandler,1436,2,1994,2,2,1,1,Shumway,Willis,Hamilton,80,80,4609,Detached,Conventional
9831,None,N,385000,Chandler,1044,3,1986,3,2,1,1,Shumway,Willis,Chandler High,83,80,7486,Detached,Conventional
9832,Community,N,350000,Chandler,1284,3,1986,2,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,4504,Detached,Conventional
9833,None,N,350000,Tempe,1144,3,1980,3,2,1,1,Flora Threw,Flora Threw,Tempe High School,3,213,8451,Detached,Cash
9834,Private,N,1300000,Scottsdale,4092,6,2001,5,4,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,43429,Detached,Cash
9835,Private,N,1250000,Scottsdale,3018,4,1993,4,3,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,32578,Detached,Cash
9836,Private,N,1250000,Scottsdale,3261,4,1996,4,3.5,1,1,Laguna,Mountainside,Desert Mountain High,48,48,15654,Detached,Conventional
9837,Private,N,1080000,Scottsdale,3705,7,1999,5,3,2,2,Grayhawk,Explorer,Pinnacle,69,69,9000,Detached,Conventional
9840,Private,N,895000,Chandler,3769,7,2011,5,4,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,11514,Detached,Conventional
9842,Private,N,867000,Scottsdale,2349,4,2006,3,2.5,1,1,Desert Canyon,Desert Canyon Middle,Saguaro High,48,48,6000,Detached,Conventional
9844,Private,N,800000,Scottsdale,2059,4,1961,4,3,1,1,Navajo,Mohave,Saguaro High,48,48,6996,Detached,Conventional
9845,Private,N,775000,Scottsdale,2143,5,1964,4,2,2,2,Pueblo,Mohave,Saguaro,48,48,10008,Detached,Conventional
9846,Private,N,770000,Scottsdale,2152,3,1985,3,2.5,2,2,North Ranch,Desert Shadows Scott,Horizon School,69,69,10229,Detached,Cash
9848,Community,N,750000,Scottsdale,1854,3,1998,3,2,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,7475,Detached,Conventional
9849,Private,N,740000,Chandler,3297,5,1995,4,2.5,1,1,San Marcos,Bogle Junior High,Hamilton,80,80,20791,Detached,Conventional
9850,Private,N,730000,Tempe,2862,6,1967,4,3,1,1,Broadmor Elementary,Connolly,Tempe High School,3,213,12151,Detached,Conventional
9851,Community,N,660000,Chandler,2404,4,2016,3,3,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,6657,Detached,Cash
9852,Community,N,650000,Scottsdale,2495,4,1980,4,3,2,2,Kiva,Mohave,Saguaro,48,48,4343,Detached,Conventional
9853,Private,N,625000,Chandler,2596,4,2004,4,2,1,1,John & Carol Carlson,Santan Junior High,Perry,80,80,15435,Detached,Conventional
9854,None,N,625000,Scottsdale,2112,4,1968,3,2,1,1,Navajo,Mohave,Saguaro High,48,48,8500,Detached,Other
9855,None,N,599900,Scottsdale,1680,3,1959,3,2,1,1,Hohokam Scottsdale,Tonalea,Coronado High,48,48,6345,Detached,Conventional
9857,None,N,525000,Scottsdale,1924,4,1993,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,7996,Detached,Cash
9858,Community,N,475000,Fountain Hills,1641,3,1989,2,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,5711,Detached,Cash
9859,Community,N,456000,Scottsdale,1473,4,1998,3,2.5,2,2,Paradise Valley,Mountain Trail,Pinnacle,69,69,2239,Detached,Conventional
9860,Private,N,450500,Tempe,1884,4,1971,4,2,1,1,Roosevelt,Powell,Westwood,4,4,10189,Detached,Other
9861,None,N,450000,Tempe,1092,3,1971,3,2,1,1,Tavan,Tempe Academy Of Int,Tempe High School,3,213,8450,Detached,Cash
9863,None,N,444600,Tempe,1826,4,1970,4,2,1,1,Curry,Connolly,McClintock,3,213,9121,Detached,Cash
9864,None,N,425000,Chandler,1440,3,1980,3,2,1,1,Frost,Hendrix,Dobson,4,4,7257,Detached,Cash
9866,None,N,365000,Chandler,1295,3,1992,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Mountain Pointe,28,213,4530,Detached,VA
9867,None,N,365000,Chandler,1261,3,1986,3,1.75,1,1,John M Andersen Jr H,John M Andersen Jr H,Chandler High,80,80,7967,Detached,Conventional
9868,None,N,320000,Tempe,1812,4,1958,4,3,1,1,Flora Threw,Connolly,McClintock,3,213,7536,Detached,Cash
9869,None,N,280000,Tempe,1190,3,1954,3,1,1,1,Flora Threw,Connolly,McClintock,3,213,5711,Detached,Cash
9870,Private,N,1490000,Scottsdale,2909,5,1982,4,4,1,1,Laguna,Mountainside,Desert Mountain High,48,48,11961,Detached,Conventional
9872,Private,N,489000,Tempe,1732,4,1971,4,2,1,1,Arredondo Elem,Connolly,McClintock,3,213,7545,Detached,Conventional
9873,None,N,465000,Tempe,1840,4,1995,4,3,2,2,Ishikawa,Kyrene Middle,Corona del Sol,28,213,4953,Detached,Conventional
9874,Community,N,380000,Chandler,1625,4,2002,3,3,1,1,Adult,Adult,Adult,80,80,6565,Detached,Conventional
9875,Both,N,1310000,Scottsdale,3924,7,1998,5,4,2,2,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,11780,Detached,Conventional
9876,Both,N,1105000,Tempe,4023,7,1978,5,3,2,2,Rover,Rover,Marcos De Niza,3,3,9696,Detached,Conventional
9877,Private,N,1000000,Tempe,3773,5,1982,4,2.5,2,2,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,16540,Detached,Conventional
9878,Private,N,985000,Scottsdale,2828,5,1978,5,3,1,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,15252,Detached,Cash
9880,Private,N,760000,Scottsdale,1996,3,1994,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,7216,Detached,Conventional
9881,None,N,739900,Fountain Hills,2825,4,1993,4,2.5,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,12981,Detached,Conventional
9882,Community,N,630000,Scottsdale,1934,3,1988,3,2,1,1,Laguna,Mountainside,Desert Mountain High,48,48,4320,Detached,Cash
9883,Private,N,600000,Tempe,2148,4,1978,4,2,1,1,Rover,Fees,Marcos De Niza,3,3,8873,Detached,Conventional
9884,Both,N,595000,Tempe,2510,5,1977,4,3,2,2,Rover,Fees,Marcos De Niza,3,213,9914,Detached,Conventional
9886,None,N,525000,Scottsdale,1676,4,1961,4,2,1,1,Pima,Supai,Coronado High,48,48,7004,Detached,Cash
9888,None,N,442000,Scottsdale,1662,3,1959,3,2,1,1,Yavapai,Supai,Coronado High,48,48,7119,Detached,Cash
9889,Private,N,361000,Chandler,1284,4,1981,4,1.75,1,1,Pomeroy,Hendrix,Dobson,4,4,8250,Detached,Cash
9892,Both,N,1310000,Scottsdale,2792,4,2007,3,3.5,1,1,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,8089,Detached,Cash
9894,Private,N,1199000,Scottsdale,3303,5,1975,4,3.5,2,1,Desert Shadows,Desert Shadows Scott,Horizon School,69,69,17073,Detached,Conventional
9895,Private,N,930000,Scottsdale,2736,4,1985,4,3,2,2,Desert Springs,Desert Shadows Scott,Horizon School,69,69,10407,Detached,VA
9896,Private,N,925000,Scottsdale,2543,4,1997,4,2.5,1,1,Grayhawk,Mountain Trail,Pinnacle,69,69,9000,Detached,Cash
9900,Private,N,850000,Chandler,3429,6,2012,5,4,1,1,John & Carol Carlson,Willie & Coy Payne J,Basha High,80,80,8925,Detached,Conventional
9901,Private,N,849000,Scottsdale,2798,5,1986,5,3,1,1,Laguna,Mountainside,Desert Mountain High,48,48,10002,Detached,Other
9902,None,Y,832500,Scottsdale,2711,4,2022,4,3.5,1,1,Lone Mountain,Sonoran Trails,Cactus Shadows,93,93,43560,Detached,Conventional
9903,Both,N,789900,Scottsdale,1936,3,1998,3,2,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,9550,Detached,Conventional
9904,None,N,785000,Fountain Hills,2632,3,1999,3,3,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,7701,Detached,Conventional
9905,None,Y,775000,Scottsdale,2500,4,1999,3,2,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,51197,Detached,Exchange
9906,Both,N,769000,Scottsdale,1670,4,1994,3,3,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,5503,Detached,Cash
9907,None,N,760000,Fountain Hills,1743,3,2014,3,3,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,43726,Detached,Other
9908,Private,N,760000,Scottsdale,3661,6,1999,4,2.5,2,2,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,10725,Detached,Conventional
9909,Private,N,740000,Chandler,3394,6,2006,4,2.5,2,2,Haley Elementary,San Tan,Perry,80,80,9688,Detached,Conventional
9910,None,N,720000,Tempe,2820,4,1986,3,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,11435,Detached,Conventional
9911,Private,Y,705000,Scottsdale,2545,4,2003,3,2.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,54450,Detached,Conventional
9914,Private,N,700000,Scottsdale,2105,3,1985,3,2,1,1,North Ranch,Desert Shadows,Horizon School,69,69,9869,Detached,Conventional
9915,Private,N,690000,Tempe,2988,5,1994,5,2.5,2,2,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,9470,Detached,Conventional
9916,Community,N,677000,Scottsdale,2132,4,1998,4,3,2,2,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,6930,Detached,Conventional
9918,Community,N,655000,Scottsdale,1873,3,1983,3,2,2,2,Cochise,Cocopah,Chaparral High,48,48,6586,Detached,Conventional
9919,Private,N,645000,Scottsdale,1800,3,1994,3,2,1,1,Cochise,Cocopah,Chaparral High,48,48,5495,Detached,Cash
9920,None,N,605000,Chandler,2944,5,1999,5,2.5,1,1,Sanborn,Willis,Chandler High,80,80,10755,Detached,Conventional
9922,Private,Y,595000,Scottsdale,1921,3,2001,3,2,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,56013,Detached,Cash
9923,None,N,590300,Chandler,2050,4,1994,3,2,1,1,Kyrene de la Mirada,Kyrene del Pueblo,Mountain Pointe,28,213,6011,Detached,Other
9924,Private,N,588000,Tempe,1910,5,1998,3,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,7322,Detached,Conventional
9925,Private,N,584500,Chandler,2254,4,1986,4,2.5,2,2,Pomeroy,Summit Academy,Dobson,4,4,11944,Detached,Other
9926,None,N,552000,Scottsdale,2184,4,1999,3,3.5,2,2,Pinnacle Peak,Explorer,Pinnacle,69,69,3685,Detached,Conventional
9927,Private,N,550000,Chandler,2341,4,1994,4,2.5,2,2,Kyrene de la Mirada,Kyrene del Pueblo,Corona del Sol,28,3,5027,Detached,Conventional
9928,Private,N,549900,Tempe,1891,3,1973,3,2,1,1,Fuller,Fees,Marcos De Niza,3,213,15024,Detached,Conventional
9929,Community,N,541000,Scottsdale,1880,3,1988,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,5234,Detached,Conventional
9930,Private,N,540000,Chandler,2097,3,1996,3,3,2,2,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,6774,Detached,Conventional
9931,Private,N,530000,Chandler,2080,4,2001,4,2,1,1,Basha Elementary Sch,Santan Junior High,Perry,80,80,7364,Detached,Conventional
9934,Private,N,499000,Chandler,2118,4,1994,4,3,3,2,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,6473,Detached,Conventional
9936,Private,N,486000,Fountain Hills,1600,3,1998,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,10149,Detached,Cash
9937,Private,N,485000,Chandler,1500,3,1986,3,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,3,9148,Detached,Conventional
9938,None,N,485000,Chandler,2350,5,1989,4,3,2,2,Erie,John M Andersen Jr H,Chandler High,80,80,8122,Detached,Conventional
9939,None,N,482500,Chandler,2074,4,2001,3,2.5,1,1,San Tan,Santan Junior High,Hamilton,80,80,7200,Detached,Conventional
9940,Private,N,475000,Chandler,1765,4,1996,4,2,1,1,Other,John M Andersen Jr H,Chandler High,80,80,4887,Detached,Conventional
9942,None,N,450000,Chandler,1842,4,2003,4,2,1,1,Weinberg,San Tan Foothills Hi,Basha Elementary Sch,80,80,7137,Detached,Cash
9943,None,N,436500,Chandler,1488,3,1983,3,2,1,1,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,10729,Detached,Conventional
9944,Private,N,430000,Chandler,1589,4,1984,4,2,1,1,Summit Academy,Summit Academy,Dobson,4,4,8795,Detached,Conventional
9945,None,N,425000,Chandler,1608,4,1992,3,2,1,1,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,5854,Detached,Cash
9946,None,N,420000,Tempe,1702,4,1970,4,2,1,1,Roosevelt,Powell,Westwood,4,4,8172,Detached,Cash
9947,None,N,410000,Chandler,1684,3,1998,3,2,1,1,Galveston,Willis,Hamilton,80,80,5336,Detached,Cash
9950,None,N,365000,Chandler,1230,3,1985,3,2,1,1,CTA Humphrey,Willis,Perry,80,80,7606,Detached,Conventional
9951,Community,N,361000,Chandler,1605,3,1985,3,2,2,2,Kyrene del Sureno,Kyrene Aprende,Corona del Sol,28,213,4556,Detached,Cash
9952,None,N,240000,Scottsdale,1416,3,1958,3,2,1,1,Pima,Supai,Coronado High,48,48,6490,Detached,Conventional
9953,Private,N,1422000,Chandler,4169,7,2006,6,4.5,1,1,T. Dale Hancock,Bogle Junior High,Hamilton,80,80,23379,Detached,Other
9955,Both,N,1213000,Scottsdale,3250,4,2005,3,2.5,2,2,Copper Ridge,Copper Ridge Middle,Chaparral High,48,48,9724,Detached,Conventional
9957,Private,N,1100000,Scottsdale,3978,6,2002,4,3.5,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,25620,Detached,Cash
9958,Both,N,990000,Scottsdale,2840,3,2001,3,3.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,12110,Detached,Conventional
9959,Community,N,985000,Scottsdale,2785,4,1996,3,2.5,1,1,Black Mountain,Sonoran Sky Scotts,Cactus Shadows,93,93,9355,Detached,Conventional
9960,None,N,970000,Scottsdale,2621,3,1993,2,2,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,15983,Detached,Cash
9961,Private,N,945000,Scottsdale,3004,5,2000,4,3,1,1,Pinnacle Peak,Pinnacle Peak,Pinnacle,69,69,7651,Detached,Cash
9962,Community,N,936350,Scottsdale,2629,4,1996,3,3.5,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,8269,Detached,Conventional
9963,Private,N,935000,Scottsdale,2776,4,1990,4,3,2,2,Desert Springs,Desert Shadows Scott,Horizon School,69,69,11037,Detached,Conventional
9964,None,N,775000,Fountain Hills,3670,6,1987,5,3.5,2,2,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,52525,Detached,Conventional
9965,Both,N,760000,Scottsdale,1972,4,1997,4,2,1,1,Desert Canyon,Desert Canyon,Saguaro,48,48,7662,Detached,Other
9966,Private,N,725000,Chandler,2471,4,1995,4,2.5,1,1,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,8250,Detached,Cash
9967,Private,N,705000,Fountain Hills,2477,3,1998,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,9993,Detached,Conventional
9968,Both,N,700000,Scottsdale,1817,3,1995,3,2,1,1,Desert Canyon,Desert Canyon Middle,Chaparral High,48,48,5503,Detached,Conventional
9969,None,N,700000,Scottsdale,1767,3,1963,3,2,1,1,Tonalea,Supai,Coronado High,48,48,7124,Detached,Conventional
9970,Private,N,685000,Scottsdale,1930,4,1970,4,2,2,2,Pima,Supai,Coronado High,48,48,5574,Detached,VA
9971,None,N,680000,Scottsdale,1877,3,1980,3,2,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,10694,Detached,Conventional
9972,Private,N,640000,Scottsdale,1980,3,1986,3,2,1,1,North Ranch,Sunrise Middle,Horizon School,69,69,9497,Detached,Cash to Loan
9973,Private,N,624000,Scottsdale,1939,4,1979,4,2,1,1,Liberty Scottsdale,Sunrise,Horizon,69,69,11173,Detached,Conventional
9974,Private,N,620000,Scottsdale,1518,3,1960,3,2,1,1,Tonalea,Supai,Coronado High,48,48,6999,Detached,Conventional
9975,Private,N,610000,Chandler,2080,4,1996,4,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,8612,Detached,Conventional
9976,Private,N,610000,Scottsdale,1490,3,1995,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,5718,Detached,Conventional
9977,None,N,600000,Scottsdale,2060,4,1959,3,2,1,1,Hohokam Scottsdale,Tonalea,Coronado High,48,48,6752,Detached,Other
9978,None,N,585000,Chandler,2985,4,2003,3,2.5,1,1,Jane D. Hull,San Tan,Basha High,80,80,10169,Detached,Conventional
9980,None,N,568930,Tempe,2979,5,1971,3,3.5,1,1,Fuller,Fees,McClintock,213,213,7257,Detached,Conventional
9981,None,N,550000,Tempe,1470,4,1960,3,2,1,1,Tonalea,Supai,Scales,48,48,7057,Detached,Conventional
9983,None,N,529900,Scottsdale,2086,5,1957,4,1.75,1,1,Pima,Supai,Coronado High,48,48,7100,Detached,Other
9984,Community,N,525000,Chandler,2500,5,2003,4,2.5,2,2,Rudy G. Bologna,Willis,Chandler High,80,80,4527,Detached,Cash
9985,Private,N,500249,Scottsdale,2310,4,1959,4,1.75,1,1,Tonalea,Tonalea,Coronado High,48,48,7238,Detached,Cash
9988,Private,N,500000,Scottsdale,1566,3,1987,2,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,5168,Detached,Conventional
9989,Private,N,494450,Chandler,1799,3,2000,3,2,1,1,Rudy G. Bologna,Willis,Perry,80,80,7468,Detached,Conventional
9990,None,N,490000,Tempe,2048,4,1973,4,2,1,1,Fuller,Fees,Marcos De Niza,3,213,7266,Detached,Conventional
9991,Private,N,480000,Chandler,2043,4,2002,4,2.5,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,7037,Detached,Conventional
9995,None,N,445000,Scottsdale,1617,4,1961,4,2,1,1,Yavapai,Supai,Coronado High,48,48,6958,Detached,Cash
9996,None,N,442000,Chandler,1705,5,1996,4,2,1,1,Rudy G. Bologna,Santan Junior High,Perry,80,80,5724,Detached,Conventional
9997,Community,N,427500,Chandler,1800,4,1985,4,2.5,2,2,Kyrene de la Mirada,Kyrene del Pueblo,Corona del Sol,28,213,6168,Detached,Conventional
9998,None,N,424000,Chandler,1538,4,1994,4,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,4957,Detached,Cash
9999,Community,N,418000,Chandler,1625,3,1985,3,2.5,2,2,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,7405,Detached,Cash
10001,Community,N,357500,Chandler,999,2,2003,2,2,1,1,Rudy G. Bologna,Bogle Junior High,Perry,80,80,3854,Detached,Conventional
10002,None,N,336000,Chandler,1515,4,1980,3,1.75,1,1,Sirrine,Hendrix,Dobson,4,4,7079,Detached,Cash
10003,Private,N,1125000,Scottsdale,3160,4,2004,3,3.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,12787,Detached,Other
10006,Private,N,900000,Chandler,2907,4,1999,4,3,1,1,CTA Independence,Bogle Junior High,Hamilton,80,80,13373,Detached,Conventional
10007,Private,N,760000,Chandler,2329,5,2012,4,2,1,1,Ira A. Fulton,Santan Junior High,Hamilton,80,80,10298,Detached,Cash
10008,Community,N,760000,Scottsdale,2292,3,1996,3,3,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,13885,Detached,Conventional
10009,Private,N,760000,Scottsdale,2635,4,1988,4,3,2,2,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,8204,Detached,Other
10010,None,Y,750000,Scottsdale,2360,4,2017,4,3,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,52206,Detached,Other
10011,Community,N,710000,Scottsdale,2206,5,2019,4,2.5,2,2,Tonalea,Tonalea,Coronado High,48,48,2358,Detached,Conventional
10013,Community,N,676000,Chandler,2404,3,2016,3,3,2,2,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,6233,Detached,Conventional
10014,Community,N,660000,Scottsdale,2000,4,1991,4,3,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,6650,Detached,Conventional
10015,None,N,647000,Scottsdale,1578,3,1967,3,2,1,1,Pima,Mohave,Saguaro High,48,48,6941,Detached,Conventional
10016,Private,N,620000,Chandler,2762,5,2004,4,3,2,2,John & Carol Carlson,Santan Junior High,Perry,80,80,9793,Detached,Conventional
10017,None,N,590000,Scottsdale,1789,4,1957,4,2,1,1,Pima,Tonalea,Coronado High,48,48,6826,Detached,Conventional
10019,None,N,575000,Tempe,1873,4,1949,3,2,1,1,Broadmor Elementary,Tempe Academy Of Int,Tempe High School,3,213,9377,Detached,Cash
10020,Private,N,565000,Chandler,2316,4,1997,3,2.5,2,2,Sanborn,Willis,Chandler High,80,80,7253,Detached,Conventional
10021,None,N,529900,Scottsdale,1652,3,1993,3,2,1,1,Pinnacle Peak,Mountain Trail,Pinnacle Peak,69,69,5112,Detached,Cash
10022,Private,N,510000,Tempe,2138,4,1995,4,2.5,2,2,Kyrene de los Ninos,Kyrene Middle,Marcos De Niza,28,213,5828,Detached,Conventional
10024,Community,N,500000,Scottsdale,1473,4,1998,3,2.5,2,2,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,2262,Detached,Cash
10025,Private,N,495000,Chandler,1939,3,2005,3,2,1,1,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,8087,Detached,Conventional
10026,None,N,495000,Scottsdale,1650,4,1957,3,1.75,1,1,Navajo,Mohave,Sahuaro,48,48,7010,Detached,Cash
10027,None,N,492000,Tempe,1642,3,1960,3,1.75,1,1,Laird,McKemy,McClintock,3,213,8485,Detached,Conventional
10028,Private,N,460000,Chandler,1441,3,1981,3,2,1,1,Sirrine,Summit Academy,Dobson,4,4,7821,Detached,Conventional
10030,None,N,447500,Fountain Hills,1563,3,1980,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,16148,Detached,Cash
10031,None,N,439000,Chandler,1726,4,1979,4,2,1,1,Summit Academy,Summit Academy,Dobson,4,4,6948,Detached,Cash
10032,Private,N,375000,Chandler,1574,3,2002,3,2.5,2,2,Jane D. Hull,Santan Elementary,Basha High,80,80,4400,Detached,FHA
10033,None,N,355250,Chandler,1106,3,1980,3,2,1,1,Chandler Traditional,Arizona College PEC,Chandler High,80,80,6512,Detached,Conventional
10034,Private,N,1450000,Scottsdale,4521,5,2002,4,4.5,1,1,Lone Mountain,Sonoran Trails,Cactus Shadows,93,93,43560,Detached,Cash
10036,Private,N,1387500,Scottsdale,3714,4,1994,3,3.5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,20556,Detached,Other
10037,Private,N,1340000,Scottsdale,3705,8,1997,6,3,2,2,Grayhawk,Mountain Trail,Pinnacle,69,69,10701,Detached,Conventional
10038,Private,N,1310000,Scottsdale,3000,5,1973,5,3.5,1,1,Desert Shadows,Desert Shadows Scott,Horizon,69,69,15753,Detached,Conventional
10039,Private,N,1050000,Scottsdale,3187,5,1984,4,3,1,1,Sequoya,Cocopah,Chaparral High,48,48,16854,Detached,Cash
10040,None,N,1005000,Scottsdale,2404,4,2009,4,3,1,1,Kiva,Mohave,Saguaro,48,48,15572,Detached,Other
10041,Private,N,969000,Chandler,3525,7,2006,5,3,2,2,CTA Independence,Bogle Junior High,Hamilton,80,80,8693,Detached,Other
10042,Private,N,950000,Tempe,4174,6,1994,5,3.5,2,1,Kyrene del Cielo,Kyrene Aprende,Corona del Sol,28,213,14954,Detached,Conventional
10043,Private,N,915000,Scottsdale,2854,6,1994,4,3.5,2,2,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,7800,Detached,Conventional
10045,Private,N,799000,Scottsdale,2557,4,1998,3,2,1,1,Desert Canyon,Desert Canyon Middle,Desert Mountain High,48,48,9060,Detached,Cash
10046,Private,N,775000,Scottsdale,2544,5,2001,4,3,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,13192,Detached,Conventional
10047,None,N,770000,Chandler,2804,6,2014,4,3.5,2,2,Ann Marie Jacobson,Bogle Junior High,Hamilton,80,80,6661,Detached,Conventional
10048,Community,N,730000,Scottsdale,1970,3,1991,3,2,1,1,Laguna,Mountainside,Desert Mountain,48,48,6100,Detached,Conventional
10049,Private,N,625000,Scottsdale,2050,4,1963,4,2,1,1,Pueblo,Mohave,Saguaro High,48,48,7738,Detached,Cash
10050,Private,N,566217,Fountain Hills,1626,3,1985,3,2,1,1,Four Peaks Ftn Hills,Fountain Hills Middl,Fountain Hills,98,98,13569,Detached,Cash
10052,None,N,535000,Scottsdale,1627,3,1999,3,2,1,1,Pima,Supai,Coronado High,48,48,4725,Detached,Other
10053,None,N,525000,Chandler,2249,4,1986,4,2,1,1,Kyrene de la Paloma,Kyrene del Pueblo,Corona del Sol,28,213,12497,Detached,Conventional
10057,None,N,505800,Chandler,2088,4,1997,4,2,1,1,Sanborn,Willis,Chandler High,80,80,8429,Detached,Conventional
10058,Both,N,422500,Chandler,1783,3,1986,3,2.5,2,2,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,4500,Detached,Conventional
10059,None,N,380000,Chandler,1488,3,1995,3,2,1,1,Frye,Willis,Hamilton,80,80,4726,Detached,Cash
10060,None,N,370000,Chandler,1578,3,1998,3,2.5,2,2,Frye,Willis,Chandler High,80,80,4848,Detached,Cash
10061,None,N,369000,Tempe,1672,3,1968,3,2,1,1,Carminati,Gililland,Tempe High School,3,3,8298,Detached,Cash
10062,None,N,367000,Chandler,1539,3,1961,3,2,1,1,Sanborn,John M Andersen Jr H,Chandler High,80,80,8111,Detached,FHA
