_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
17541,None,N,580000,Scottsdale,2253,4,1991,3,2,1,1,Redfield Elementary,Desert Canyon Middle,Desert Mountain High,48,48,6823,Detached,Conventional
17543,Private,N,525000,Chandler,2922,5,2005,4,3,2,2,Haley Elementary,Santan Elementary,Perry,80,80,7320,Detached,Conventional
17544,Private,N,525000,Scottsdale,1750,3,1979,3,2,1,1,Desert Shadows,Desert Shadows,Horizon,69,69,9947,Detached,Conventional
17546,None,N,498000,Scottsdale,1615,3,1994,2,2,1,1,Desert Sun,Sonoran Trails,Cactus Shadows,93,93,6050,Detached,VA
17549,Private,N,470000,Tempe,2338,4,1987,4,2,1,1,C. I. Waggoner,Kyrene Middle,Corona del Sol,28,213,8485,Detached,Cash
17550,Community,N,465000,Chandler,2502,5,2020,3,3,2,2,CTA Humphrey,Santan Junior High,Perry,80,80,4000,Detached,Conventional
17551,None,N,455000,Chandler,2478,4,2005,4,2.5,1,1,Haley Elementary,Santan Junior High,Perry,80,80,8834,Detached,Conventional
17552,None,N,455000,Chandler,1722,3,2006,3,2,1,1,Audrey and Robert Ry,Willie & Coy Payne J,Basha High,80,80,7802,Detached,Other
17553,None,N,455000,Tempe,2012,5,1958,4,1.75,2,1,Tonalea,Tonalea,Coronado High,48,48,8189,Detached,Conventional
17554,Community,N,450000,Scottsdale,1680,3,1989,2,2,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,4983,Detached,Cash
17555,Private,N,450000,Tempe,1935,4,1981,4,2,1,1,Kyrene de los Ninos,Kyrene Middle,Marcos De Niza,28,213,14941,Detached,Conventional
17556,Private,N,443000,Tempe,1980,3,1969,3,2,1,1,Hudson,Dr Howard K Conley E,McClintock,3,213,7457,Detached,Conventional
17557,None,N,440000,Scottsdale,1486,3,1954,3,2,1,1,Tonalea,Supai,Coronado,48,48,6534,Detached,Conventional
17558,Private,N,435000,Chandler,2185,4,1993,3,2.5,2,2,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,14902,Detached,Conventional
17560,Community,N,410000,Chandler,1700,4,2001,3,2,1,1,Adult,Adult,Adult,80,80,6699,Detached,Other
17562,Community,N,390000,Tempe,2657,5,1998,4,3.5,2,2,Kyrene del Norte,Kyrene Del Norte,Marcos De Niza,28,213,6025,Detached,Conventional
17563,Private,N,384000,Chandler,2554,5,2005,4,2.5,2,2,Navarrete,Willie & Coy Payne J,Basha High,80,80,7605,Detached,Cash
17564,Community,N,380000,Scottsdale,1471,3,1990,3,2,1,1,Cheyene Elementary,Mountainside,Desert Mountain High,48,48,3200,Detached,Conventional
